float
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

linpack
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

json
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

pyaes
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

chameleon
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

html
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

Cnn
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

Rnn
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

BFS
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13

BERT
实例,restore时间(ms)
criu-cxl,10
mitosis,11
cxlfork,12
localfork,13
